000413.SZ,CNE000000578,6108000000000000,6108040000000000,6108040100000000,b10p000000000000,b10p030000000000,b10p030100000000
000415.SZ,CNE0000009B1,1000012613000000,6119010000000000,6119010100000000,b10m000000000000,b10m030000000000,b10m030200000000
000416.SZ,CNE0000009P1,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010100000000
000417.SZ,CNE000000BV0,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010100000000
000419.SZ,CNE000000LL0,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010300000000
000420.SZ,CNE0000008F4,6103000000000000,6103020000000000,6103020300000000,b106000000000000,b106020000000000,b106020400000000
000421.SZ,CNE0000003L3,6123000000000000,6123010000000000,6123010100000000,b10t000000000000,b10t010000000000,b10t010100000000
000422.SZ,CNE0000009C9,6103000000000000,6103040000000000,6103040100000000,b106000000000000,b106010000000000,b106010100000000
000423.SZ,CNE0000006Y9,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i020000000000,b10i020200000000
000425.SZ,CNE000000FH0,6107000000000000,6107040000000000,6107040200000000,b10a000000000000,b10a010000000000,b10a010100000000
000426.SZ,CNE000000D24,6105000000000000,1000012617000000,6105020400000000,b103000000000000,b103030000000000,b103030100000000
000428.SZ,CNE000000LM8,6121000000000000,6121030000000000,6121030100000000,b10f000000000000,b10f020000000000,b10f020100000000
000429.SZ,CNE0000006Z6,6117000000000000,6117050000000000,6117050100000000,b10o000000000000,b10o010000000000,b10o010100000000
000430.SZ,CNE000000F22,6121000000000000,6121020000000000,6121020200000000,b10f000000000000,b10f010000000000,b10f010100000000
000488.SZ,CNE0000015H5,6114000000000000,6114030000000000,6114030100000000,b109000000000000,b109010000000000,b109010100000000
000498.SZ,CNE0000009D7,6106020000000000,1000004602000000,1000012555000000,b107000000000000,b107010000000000,b107010100000000
000501.SZ,CNE000000024,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010100000000
000502.SZ,CNE000000214,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000503.SZ,CNE000000255,6122010000000000,1000012608000000,6122040100000000,b10i000000000000,b10i040000000000,b10i040300000000
000504.SZ,CNE000000263,6122010000000000,1000012604000000,6122010100000000,b10s000000000000,b10s010000000000,b10s010100000000
000505.SZ,CNE0000002X0,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000506.SZ,CNE0000004D8,6105000000000000,6105020500000000,1000012540000000,b10n000000000000,b10n010000000000,b10n010100000000
000507.SZ,CNE000000149,6117000000000000,6117010000000000,6117010100000000,b10o000000000000,b10o030000000000,b10o030200000000
000509.SZ,CNE0000001G7,6106010000000000,6106010400000000,1000012548000000,b10t000000000000,b10t010000000000,b10t010100000000
000510.SZ,CNE000000172,6103000000000000,6103030000000000,6103030200000000,b106000000000000,b106030000000000,b106030200000000
000513.SZ,CNE0000002Y8,6115000000000000,6115010000000000,6115010200000000,b10i000000000000,b10i010000000000,b10i010200000000
000514.SZ,CNE0000004R8,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010300000000
000516.SZ,CNE000000016,6120000000000000,1000012591000000,1000012592000000,b10e000000000000,b10e010000000000,b10e010100000000
000517.SZ,CNE0000000R6,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000518.SZ,CNE0000001P8,6115000000000000,6115020000000000,6115020100000000,b10i000000000000,b10i030000000000,b10i030100000000
000519.SZ,CNE000000198,6105000000000000,6105010000000000,6105010300000000,b108000000000000,b108030000000000,b108030200000000
000520.SZ,CNE0000003M1,6117000000000000,6117060000000000,6117060100000000,b10o000000000000,b10o030000000000,b10o030100000000
000521.SZ,CNE000000BT4,6111000000000000,6111010000000000,6111010100000000,b10g000000000000,b10g010000000000,b10g010100000000
000523.SZ,CNE0000005T1,6103000000000000,6103040000000000,6103040400000000,b106000000000000,b106040000000000,b106040100000000
000524.SZ,CNE000000651,6121000000000000,6121030000000000,6121030100000000,b10f000000000000,b10f020000000000,b10f020100000000
000525.SZ,CNE0000002Z5,6103000000000000,6103040000000000,6103040300000000,b106000000000000,b106010000000000,b106010500000000
000526.SZ,CNE0000005F0,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000528.SZ,CNE000000DB8,6107000000000000,6107040000000000,6107040200000000,b10a000000000000,b10a010000000000,b10a010100000000
000529.SZ,CNE0000002B6,6123000000000000,6123010000000000,6123010100000000,b10j000000000000,b10j030000000000,b10j030400000000
000530.SZ,CNE000000DK9,6107000000000000,6107020000000000,6107020500000000,b10a000000000000,b10a030000000000,b10a030500000000
000531.SZ,CNE000000DS2,6116000000000000,6116010000000000,6116010300000000,b104000000000000,b104010000000000,b104010100000000
000532.SZ,CNE0000002C4,6108000000000000,6108030000000000,1000004607000000,b10p000000000000,b10p030000000000,b10p030100000000
000533.SZ,CNE0000003T6,6111000000000000,6111010000000000,6111010400000000,b10g000000000000,b10g040000000000,b10g040200000000
000534.SZ,CNE0000004T4,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000536.SZ,CNE0000002D2,6108000000000000,6108040000000000,6108040100000000,b10p000000000000,b10p030000000000,b10p030100000000
000537.SZ,CNE000000271,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000538.SZ,CNE0000008X7,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i020000000000,b10i020200000000
000539.SZ,CNE0000006J0,6116000000000000,6116010000000000,6116010100000000,b104000000000000,b104010000000000,b104010100000000
000540.SZ,CNE000000FL2,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010300000000
000541.SZ,CNE000000DN3,6108000000000000,6108020000000000,6108020100000000,b10g000000000000,b10g040000000000,b10g040100000000
000543.SZ,CNE000000DF9,6116000000000000,6116010000000000,6116010100000000,b104000000000000,b104010000000000,b104010100000000
000544.SZ,CNE000000F30,6116000000000000,6116040000000000,6116040100000000,b104000000000000,b104020000000000,b104020100000000
000545.SZ,CNE0000002F7,6103000000000000,6103030000000000,6103030400000000,b106000000000000,b106040000000000,b106040300000000
000546.SZ,CNE0000004G1,6106010000000000,6106010200000000,1000012546000000,b108000000000000,b108010000000000,b108010100000000
000547.SZ,CNE000000DM5,1000012611000000,6110020000000000,6110020300000000,b10c000000000000,b10c010000000000,b10c010200000000
000548.SZ,CNE000000DT0,6117000000000000,6117050000000000,6117050100000000,b10o000000000000,b10o010000000000,b10o010100000000
000550.SZ,CNE000000CV8,1000012588000000,6109040000000000,6109040200000000,b10d000000000000,b10d020000000000,b10d020100000000
000551.SZ,CNE000000FP3,6107000000000000,6107040000000000,1000004605000000,b10b000000000000,b10b020000000000,b10b020100000000
000552.SZ,CNE000000D40,6102000000000000,6102010000000000,6102010100000000,b102000000000000,b102010000000000,b102010100000000
000553.SZ,CNE0000004V0,6103000000000000,6103040000000000,6103040300000000,b106000000000000,b106010000000000,b106010500000000
000554.SZ,CNE000000669,6103000000000000,6103050000000000,6103050300000000,b101000000000000,b101020000000000,b101020100000000
000555.SZ,CNE000000FM0,1000012601000000,6122020000000000,1000012603000000,b10q000000000000,b10q020000000000,b10q020200000000
000557.SZ,CNE000000FQ1,6112000000000000,6112030000000000,6112030500000000,b10j000000000000,b10j020000000000,b10j020200000000
000558.SZ,CNE0000003V2,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000559.SZ,CNE000000FB3,1000012588000000,6109030000000000,6109030100000000,b10d000000000000,b10d030000000000,b10d030100000000
000560.SZ,CNE000000636,6120000000000000,6120010300000000,1000012596000000,b10n000000000000,b10n010000000000,b10n010100000000
000561.SZ,CNE0000005K0,1000012611000000,6110020000000000,6110020200000000,b10c000000000000,b10c030000000000,b10c030100000000
000563.SZ,CNE0000004F3,1000012613000000,6119010000000000,6119010100000000,b10m000000000000,b10m030000000000,b10m030100000000
000564.SZ,CNE0000003W0,6120000000000000,1000012591000000,1000012592000000,b10e000000000000,b10e010000000000,b10e010100000000
000565.SZ,CNE000000305,6103000000000000,6103040000000000,6103040500000000,b106000000000000,b106040000000000,b106040300000000
000566.SZ,CNE0000004W8,6115000000000000,6115010000000000,6115010200000000,b10i000000000000,b10i010000000000,b10i010200000000
000567.SZ,CNE0000005V7,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000568.SZ,CNE000000GF2,6112000000000000,6112030000000000,6112030100000000,b10j000000000000,b10j010000000000,b10j010100000000
000570.SZ,CNE000000GT3,6107000000000000,6107020000000000,6107020400000000,b10a000000000000,b10a030000000000,b10a030500000000
000571.SZ,CNE000000586,6102000000000000,6102010000000000,6102010100000000,b102000000000000,b102010000000000,b102010100000000
000572.SZ,CNE0000006L6,1000012588000000,6109040000000000,6109040100000000,b10d000000000000,b10d010000000000,b10d010100000000
000573.SZ,CNE0000003D0,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000576.SZ,CNE0000005H6,6114000000000000,6114030000000000,6114030100000000,b109000000000000,b109010000000000,b109010100000000
000581.SZ,CNE0000002G5,1000012588000000,6109030000000000,6109030100000000,b10d000000000000,b10d030000000000,b10d030100000000
000582.SZ,CNE0000001M5,6117000000000000,6117010000000000,6117010100000000,b10o000000000000,b10o030000000000,b10o030200000000
000584.SZ,CNE0000001Q6,6103000000000000,6103020000000000,6103020500000000,b106000000000000,b106020000000000,b106020300000000
000585.SZ,CNE000000677,6107010000000000,1000012574000000,1000012575000000,b10b000000000000,b10b020000000000,b10b020100000000
000586.SZ,CNE0000000H7,1000012611000000,6110020000000000,6110020300000000,b10q000000000000,b10q020000000000,b10q020700000000
000587.SZ,CNE0000001K9,6114000000000000,6114020000000000,1000004626000000,b103000000000000,b103010000000000,b103010100000000
000589.SZ,CNE000000JH2,6103000000000000,6103070000000000,6103070100000000,b10d000000000000,b10d030000000000,b10d030100000000
000590.SZ,CNE000000701,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i020000000000,b10i020200000000
000591.SZ,CNE0000000K1,6115000000000000,6115040000000000,6115040100000000,b10i000000000000,b10i040000000000,b10i040100000000
000592.SZ,CNE0000009F2,6101000000000000,6101010000000000,6101010100000000,b10k000000000000,b10k030000000000,b10k030100000000
000593.SZ,CNE000000032,6123000000000000,6123010000000000,6123010100000000,b10e000000000000,b10e010000000000,b10e010100000000
000595.SZ,CNE000000K09,6107000000000000,6107020000000000,6107020200000000,b10a000000000000,b10a030000000000,b10a030400000000
000596.SZ,CNE000000MD5,6112000000000000,6112030000000000,6112030100000000,b10j000000000000,b10j010000000000,b10j010100000000
000597.SZ,CNE0000009G0,6115000000000000,6115010000000000,6115010100000000,b10i000000000000,b10i010000000000,b10i010100000000
000598.SZ,CNE000000HN4,6116000000000000,6116040000000000,6116040100000000,b104000000000000,b104020000000000,b104020100000000
000599.SZ,CNE000000K17,6103000000000000,6103070000000000,6103070100000000,b10d000000000000,b10d030000000000,b10d030100000000
000600.SZ,CNE000000FT5,6116000000000000,6116010000000000,6116010100000000,b104000000000000,b104010000000000,b104010100000000
000601.SZ,CNE0000009H8,6116000000000000,6116010000000000,6116010100000000,b104000000000000,b104010000000000,b104010200000000
000603.SZ,CNE000000H04,6105000000000000,1000012617000000,6105020400000000,b103000000000000,b103020000000000,b103020200000000
000605.SZ,CNE000000LX5,6116000000000000,6116040000000000,6116040100000000,b10i000000000000,b10i030000000000,b10i030100000000
000606.SZ,CNE000000M98,6115000000000000,6115050000000000,6115050100000000,b10i000000000000,b10i020000000000,b10i020200000000
000607.SZ,CNE000000D65,6122010000000000,1000012607000000,1000004629000000,b10s000000000000,b10s010000000000,b10s010100000000
000608.SZ,CNE000000982,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010200000000
000609.SZ,CNE0000007Z4,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010300000000
000610.SZ,CNE000000D73,6121000000000000,6121040000000000,6121040100000000,b10f000000000000,b10f020000000000,b10f020100000000
000611.SZ,CNE000000768,6123000000000000,6123010000000000,6123010100000000,b10t000000000000,b10t010000000000,b10t010100000000
000612.SZ,CNE000000826,6105000000000000,1000012617000000,6105020200000000,b103000000000000,b103020000000000,b103020500000000
000613.SZ,CNE0000008G2,6121000000000000,6121030000000000,6121030100000000,b10f000000000000,b10f020000000000,b10f020100000000
000615.SZ,CNE0000007D1,6103000000000000,6103020000000000,6103020300000000,b106000000000000,b106020000000000,b106020400000000
