ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000838.SZ,财信发展,CNE0000007R1,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,31.91340293,房地产,房地产开发Ⅱ
000839.SZ,中信国安,CNE000000TD0,综合-综合Ⅱ-综合Ⅲ,6123000000000000-6123010000000000-6123010100000000,综合--综合Ⅱ--综合Ⅲ,b10t000000000000-b10t010000000000-b10t010100000000,否,否,否,102.6994504,综合,综合Ⅱ
000848.SZ,承德露露,CNE000000TG3,食品饮料-饮料制造-软饮料,6112000000000000-6112030000000000-6112030400000000,食品饮料--饮料--非乳饮料,b10j000000000000-b10j020000000000-b10j020400000000,否,否,是,79.0091546,食品饮料,饮料制造
000850.SZ,华茂股份,CNE000000X20,纺织服装-纺织制造-棉纺,6113000000000000-6113010000000000-6113010200000000,纺织服装--纺织制造--非棉纺织品,b10h000000000000-1000009979000000-1000009982000000,否,否,否,38.50153237,纺织服装,纺织制造
000851.SZ,高鸿股份,CNE0000009Q9,通信-通信设备-终端设备,1000012611000000-6110020000000000-6110020200000000,通信--通信设备制造--通信终端及配件,b10q000000000000-b10q020000000000-b10q020300000000,否,否,否,66.8923212,通信,通信设备
000852.SZ,石化机械,CNE000000XK7,机械设备-专用设备-冶金矿采化工设备,6107000000000000-6107040000000000-6107040500000000,机械--专用机械--油气装备,b10a000000000000-b10a020000000000-1000034746000000,否,否,否,37.01399786,机械设备,专用设备
000856.SZ,冀东装备,CNE000000WJ1,机械设备-专用设备-其它专用机械,6107000000000000-6107040000000000-6107040700000000,机械--专用机械--其他专用机械,b10a000000000000-b10a020000000000-b10a020300000000,否,否,否,18.7048,机械设备,专用设备
000858.SZ,五粮液,CNE000000VQ8,食品饮料-饮料制造-白酒,6112000000000000-6112030000000000-6112030100000000,食品饮料--酒类--白酒,b10j000000000000-b10j010000000000-b10j010100000000,否,是,否,10114.69414,食品饮料,饮料制造
000859.SZ,国风塑业,CNE000000XF7,化工-塑料-其他塑料制品,6103000000000000-6103060000000000-6103060100000000,基础化工--塑料及制品--膜材料,b106000000000000-1000034709000000-1000034712000000,否,否,否,39.48661558,化工,塑料
000860.SZ,顺鑫农业,CNE000000XH3,食品饮料-饮料制造-白酒,6112000000000000-6112030000000000-6112030100000000,食品饮料--酒类--白酒,b10j000000000000-b10j010000000000-b10j010100000000,否,是,否,466.7197895,食品饮料,饮料制造
000861.SZ,海印股份,CNE000000X46,商业贸易-商业物业经营-一般物业经营,6120000000000000-6120010300000000-1000012596000000,商贸零售--专业市场经营Ⅱ--专业市场经营Ⅲ,b10e000000000000-1000034772000000-1000034773000000,否,否,否,59.06631794,商业贸易,商业物业经营
000862.SZ,银星能源,CNE000000WZ7,公用事业-电力-新能源发电,6116000000000000-6116010000000000-1000012600000000,电力设备及新能源--电源设备--风电,b10b000000000000-b10b030000000000-b10b030100000000,否,否,否,29.86883357,公用事业,电力
000863.SZ,三湘印象,CNE000000T00,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,56.23705454,房地产,房地产开发Ⅱ
